Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-2403.621	-2474.451	70.83003	1.144206	0.2424925	2.633161
6	-2403.17	-2473.044	69.87399	1.011448	0.2278467	3.312137
12	-2402.181	-2472.93	70.74844	1.175301	0.2014498	2.735132
18	-2410.432	-2480.703	70.27129	1.091299	0.2585568	2.979856
24	-2403.787	-2474.586	70.79852	1.157892	0.2976491	2.55898
30	-2408.072	-2479.53	71.45861	1.302368	0.233087	2.151439
36	-2413.912	-2484.727	70.8154	1.448544	0.1897977	2.547043
42	-2405.148	-2476.707	71.55824	1.365606	0.2507243	2.013299
48	-2407.804	-2478.229	70.42476	1.2613	0.2507243	2.796486
54	-2403.018	-2474.021	71.00325	1.284173	0.3467843	2.281345
60	-2397.525	-2467.342	69.81663	1.133559	0.3127177	3.148364
66	-2405.244	-2474.821	69.577	1.185623	0.3127177	3.259491
72	-2406.676	-2476.154	69.4777	1.29609	0.1957575	3.432148
78	-2409.696	-2479.122	69.42635	1.180361	0.2556806	3.432148
84	-2410.861	-2481.394	70.53283	1.180361	0.2117042	2.845072
90	-2408.071	-2478.383	70.31203	1.154411	0.3150791	2.835176
96	-2405.662	-2476.17	70.50795	1.292364	0.2693194	2.697647
102	-2412.673	-2483.948	71.27514	1.498025	0.2250571	2.157918
108	-2409.393	-2481.86	72.46672	1.545342	0.1993191	1.335844
114	-2413.131	-2484.756	71.62519	1.278513	0.2034658	2.113162
120	-2417.169	-2487.94	70.77114	1.417864	0.1571094	2.659041
126	-2426.757	-2497.207	70.45021	1.150211	0.1900731	2.952187
132	-2419.436	-2489.987	70.55083	1.108281	0.1715386	2.952187
138	-2415.988	-2486.602	70.61378	1.120866	0.3057377	2.684397
144	-2412.498	-2484.238	71.7402	1.308412	0.2056551	2.013267
150	-2419.626	-2491.555	71.92858	1.292703	0.2056551	1.897257
156	-2414.486	-2486.001	71.515	1.332933	0.2233794	2.112161
162	-2410.049	-2480.469	70.42046	1.29168	0.1401924	2.985103
168	-2410.617	-2480.969	70.35227	1.211456	0.1842582	2.985103
174	-2420.007	-2490.445	70.43719	1.117534	0.2165578	2.932468
180	-2413.494	-2484.912	71.4187	1.262957	0.254283	2.166422
186	-2408.262	-2479.771	71.50948	1.262957	0.2314026	2.146976
192	-2409.119	-2478.863	69.74369	1.024781	0.3312539	3.231649
198	-2406.821	-2477.798	70.97709	1.205334	0.2185121	2.544978
204	-2404.018	-2474.543	70.52502	1.205334	0.3110998	2.679493
210	-2405.686	-2476.755	71.06851	1.376611	0.2859848	2.268135
216	-2408.093	-2479.385	71.29167	1.336536	0.2159606	2.268135
222	-2411.949	-2481.9	69.95095	1.251741	0.3578906	2.938655
228	-2411.174	-2481.646	70.47234	1.213314	0.2894457	2.737827
234	-2408.864	-2479.212	70.34843	1.333046	0.4016584	2.592988
240	-2399.858	-2471.03	71.17273	1.232541	0.2558995	2.341354
246	-2402.866	-2473.884	71.01761	1.256805	0.2113611	2.500388
252	-2400.664	-2471.365	70.70118	1.179284	0.2342469	2.704507
258	-2419.304	-2490.158	70.85371	1.144221	0.1988153	2.694484
264	-2419.635	-2491.298	71.66254	1.234603	0.2375072	2.054247
270	-2405.766	-2477.826	72.06008	1.501613	0.1832995	1.70866
276	-2412.231	-2484.304	72.07305	1.380102	0.207931	1.732587
282	-2405.48	-2477.623	72.14228	1.591467	0.1521505	1.65949
288	-2417.4	-2489.1	71.70036	1.460642	0.2762463	1.8089
294	-2406.984	-2478.896	71.91148	1.458397	0.2762463	1.662161
300	-2409.165	-2480.867	71.7024	1.361166	0.2336348	1.950331
306	-2405.17	-2476.832	71.66213	1.213436	0.2336348	2.075407
312	-2406.581	-2478.112	71.53096	1.299464	0.2268333	2.117324
318	-2412.719	-2483.798	71.07956	1.342737	0.4431704	2.071817
324	-2405.615	-2476.541	70.92592	1.290395	0.2732328	2.433199
330	-2401.646	-2473.459	71.81367	1.351421	0.3057161	1.757385
336	-2404.06	-2475.679	71.61916	1.300158	0.4153273	1.770229
342	-2398.437	-2469.786	71.34896	1.300158	0.2658446	2.168403
348	-2398.76	-2468.683	69.92249	0.9411001	0.378957	3.116052
354	-2402.289	-2471.859	69.5699	0.960812	0.2855593	3.4331
360	-2405.874	-2475.468	69.59425	1.061424	0.2365142	3.4331
366	-2409.576	-2479.084	69.50816	1.02961	0.2923433	3.419493
372	-2404.829	-2475.748	70.91916	1.206539	0.3601003	2.366614
378	-2405.33	-2476.133	70.80296	1.164125	0.208003	2.696732
384	-2402.559	-2472.996	70.43645	1.153176	0.2699627	2.825307
390	-2399.31	-2470.303	70.99265	1.113087	0.2592879	2.524418
396	-2400.65	-2472.449	71.79851	1.244855	0.2455486	1.942413
402	-2407.893	-2479.022	71.1297	1.375259	0.2620894	2.267595
408	-2406.113	-2476.823	70.71002	1.192639	0.3266003	2.551507
414	-2404.22	-2474.899	70.6783	1.265654	0.2214238	2.687312
420	-2406.001	-2476.806	70.80544	1.053483	0.2528996	2.687312
426	-2406.106	-2476.595	70.48941	1.316964	0.2736602	2.687312
432	-2403.618	-2475.229	71.61099	1.194074	0.2104901	2.164105
438	-2403.587	-2474.465	70.87803	1.209576	0.288781	2.490254
444	-2398.916	-2469.936	71.01942	1.215116	0.2352782	2.483431
450	-2404.067	-2475.135	71.06718	1.167356	0.2352782	2.483431
456	-2403.629	-2474.266	70.63656	1.167356	0.2645079	2.702844
462	-2406.463	-2477.119	70.65654	1.292024	0.2044801	2.714429
468	-2413.774	-2484.398	70.62401	1.47996	0.2416009	2.55427
474	-2413.425	-2484.462	71.03705	1.504043	0.2085313	2.33747
480	-2413.927	-2484.804	70.87654	1.392374	0.3346387	2.309828
486	-2413.545	-2483.645	70.10016	1.30576	0.2541052	2.960692
492	-2407.275	-2477.727	70.45203	1.113463	0.2416968	2.884103
498	-2409.256	-2479.106	69.84978	1.100666	0.2416968	3.251596
504	-2411.483	-2481.55	70.06691	1.405223	0.2314495	2.957142
510	-2416.515	-2487.365	70.84982	1.328016	0.2288122	2.529896
516	-2414.041	-2484.717	70.67613	1.328016	0.283835	2.549722
522	-2410.451	-2481.124	70.6731	1.280753	0.196372	2.726016
528	-2412.084	-2482.492	70.40837	1.111426	0.240491	2.913667
